kind,key,revenue_mean_change,profit_mean_change_pp
company,AMD,-0.0017488241316869838,0.012441236227614505
company,Amazon AWS,0.0021395967573482194,0.0781981929897615
company,Amkor Technology,0.0005865018475289321,0.023437686011678727
company,Applied Materials,-0.00018793881917816835,0.013502168389241342
company,Arista Networks,-0.0006461895986188612,0.016916108822970344
company,Broadcom,0.0002230167602112476,-0.016018631390959825
company,Entegris,0.000637039255451867,0.028813688536863058
company,II-VI / Coherent,0.0005346460057427393,0.013097168910291668
company,Intel,0.0010579844928869514,0.029183654639884038
company,KLA,-0.001186800963044722,0.020913475506038948
company,Lam Research,-0.00024341552043823794,0.06731503445791054
company,Marvell Technology,0.0008108472409482093,-0.07029219186532565
company,Micron,-0.0034541267678829674,-0.31970105062890286
company,NVIDIA,6.23886028886661e-06,0.0020283905872791053
company,Netflix,0.000623620026288671,0.06284441358622583
company,Super Micro Computer,0.0001069057708910845,0.02403161238597118
company,Vertiv,0.000685843797898357,0.017140249066719182
